par tair vpd sw ca alow_ca ahigh_ca alow_sw ahigh_sw alow_par ahigh_par alow_tair ahigh_tair
0.0 2.0 0.5 0.0601503759398 250.0 14.6888517884 17.7370832743 0.337514708898 0.434883915943 0.0 0.0 2.12854266031 2.74973761477
15.1515151515 2.38383838384 0.555555555556 0.061895429723 257.575757576 15.0937834109 18.2113703021 0.361907602444 0.466262903514 0.517674918464 0.518492611962 2.58899696232 3.34032837278
30.303030303 2.76767676768 0.611111111111 0.0637063101278 265.151515152 15.4904690786 18.6751621094 0.387797339123 0.499560457941 1.02802917932 1.03135524704 3.06622013887 3.95060783669
45.4545454545 3.15151515152 0.666666666667 0.0655860071505 272.727272727 15.8791522713 19.1287887296 0.415273816071 0.534890962393 1.53085822397 1.53846439048 3.56012173944 4.58016749903
60.6060606061 3.53535353535 0.722222222222 0.0675376648115 280.303030303 16.2600669506 19.5725667862 0.444432168691 0.572375358789 2.02596305301 2.03969879134 4.070554406 5.22851716904
75.7575757576 3.91919191919 0.777777777778 0.0695645896015 287.878787879 16.6334380389 20.006800173 0.475373044161 0.612141475699 2.51315175864 2.53494000026 4.59731331872 5.89509422277
90.9090909091 4.30303030303 0.833333333333 0.0716702593702 295.454545455 16.9994818659 20.4317806912 0.50820288416 0.654324365003 2.99224110283 3.02407292417 5.14013732445 6.57927696571
106.060606061 4.68686868687 0.888888888889 0.0738583326755 303.03030303 17.3584065881 20.8477886473 0.543034216296 0.699066646256 3.46305811482 3.50698639329 5.69871199503 7.28040126048
121.212121212 5.07070707071 0.944444444444 0.076132658607 310.606060606 17.7104125824 21.2550934139 0.57998595357 0.746518857486 3.92544167861 3.98357373451 6.27267470716 7.99777875975
136.363636364 5.45454545455 1.0 0.078497287096 318.181818182 18.0556928148 21.653953957 0.619183700997 0.796839810791 4.37924407765 4.45373334515 6.86162160154 8.73071440855
151.515151515 5.83838383838 1.05555555556 0.0809564797253 325.757575758 18.3944331884 22.044619332 0.660760068279 0.850196950813 4.82433246268 4.91736926031 7.46511598647 9.47852059139
166.666666667 6.22222222222 1.11111111111 0.0835147210448 333.333333333 18.7268128692 22.4273291512 0.704854987182 0.906766713738 5.26059020775 5.37439170646 8.08269744367 10.2405255808
181.818181818 6.60606060606 1.16666666667 0.0861767304004 340.909090909 19.0530045951 22.8023140238 0.751616031929 0.966734884042 5.6879181208 5.82471763417 8.71389064304 11.0160748017
196.96969697 6.9898989899 1.22222222222 0.088947474276 348.484848485 19.3731749651 23.1697959716 0.801198740623 1.0302969457 6.10623547709 6.26827122218 9.35821275235 11.8045246559
212.121212121 7.37373737374 1.27777777778 0.091832179146 356.060606061 19.6874847139 23.5299888211 0.853766935288 1.09765842401 6.51548084824 6.70498434558 10.0151783963 12.6052299127
227.272727273 7.75757575758 1.33333333333 0.0948363448278 363.636363636 19.9960889704 23.8830985743 0.909493037684 1.16903521359 6.91561270448 7.13479700081 10.6843013889 13.4175266229
242.424242424 8.14141414141 1.38888888889 0.0979657583172 371.212121212 20.2991375022 24.2293237588 0.968558377566 1.24465388732 7.30660977434 7.55765768089 11.3650928907 14.2407129554
257.575757576 8.52525252525 1.44444444444 0.101226508081 378.787878788 20.5967749473 24.5688557596 1.03115348945 1.32475198033 7.68847115318 7.97352369492 12.0570561339 15.0740302853
272.727272727 8.90909090909 1.5 0.104624998772 386.363636364 20.8891410332 24.9018791331 1.09747839336 1.40957824237 8.06121615956 8.38236142655 12.7596783086 15.916646415
287.878787879 9.29292929293 1.55555555556 0.108167966307 393.939393939 21.1763707843 25.2285719044 1.16774285435 1.49939285061 8.424883946 8.78414652742 13.4724205191 16.7676421912
303.03030303 9.67676767677 1.61111111111 0.111862493266 401.515151515 21.4585947188 25.5491058494 1.2421666146 1.59446757451 8.77953287793 9.17886404255 14.1947068578 17.6260021555
318.181818182 10.0606060606 1.66666666667 0.115716024498 409.090909091 21.735939036 25.8636467621 1.32097959145 1.6950858829 9.12523970084 9.56650846571 14.8504852006 18.4013142724
333.333333333 10.4444444444 1.72222222222 0.119736382861 416.666666667 22.008525793 26.1723547086 1.40442203329 1.80154298248 9.46209852108 9.94708372454 15.1082797575 18.7031038916
348.484848485 10.8282828283 1.77777777778 0.123931784953 424.242424242 22.2764730734 26.4753842679 1.49274462451 1.91414577593 9.79021962931 10.320603096 15.3672246343 19.0054462978
363.636363636 11.2121212121 1.83333333333 0.128310856678 431.818181818 22.5398951476 26.7728847612 1.58620852955 2.03321272661 10.1097281985 10.6870890539 15.6271931389 19.3081542817
378.787878788 11.595959596 1.88888888889 0.132882648464 439.393939394 22.7989026251 27.0650004693 1.68508536482 2.15907361561 10.420762889 11.0465730528 15.8880517505 19.6110320435
393.939393939 11.9797979798 1.94444444444 0.137656649905 446.96969697 23.0536025995 27.3518708397 1.7896570861 2.29206917628 10.7234743933 11.3990952507 16.1496598043 19.9138750183
409.090909091 12.3636363636 2.0 0.142642803558 454.545454545 23.3040987864 27.6336306834 1.90021577767 2.4325505901 11.0180239515 11.744704177 16.4118691677 20.2164697085
424.242424242 12.7474747475 2.05555555556 0.147851517564 462.121212121 23.5504916547 27.9104103625 2.01706332824 2.58087882715 11.3045818654 12.0834563522 16.6745239084 20.5185935219
439.393939394 13.1313131313 2.11111111111 0.153293676736 469.696969697 23.7928785526 28.1823359685 2.14051097732 2.73742381428 11.5833260377 12.4154158634 16.9374599537 20.820014615
454.545454545 13.5151515152 2.16666666667 0.158980651647 477.272727273 24.0313538266 28.4495294925 2.27087871448 2.90256341352 11.8544405576 12.740653905 17.200504741 21.1204917416
