#year	doy	ET	       T	ES	I	     EC
1998	130	1.501	0.817	0.037	0.647	0.684
1998	131	4.15	1.332	0.032	2.786	2.819
1998	132	3.29	0.894	0.027	2.368	2.396
1998	133	3.771	1.402	0.037	2.331	2.368
1998	134	2.8	1.564	0.11	1.126	1.236
1998	135	2.147	1.932	0.215	0	0.215
1998	136	2.71	2.482	0.228	0	0.228
1998	137	3.008	2.686	0.167	0.155	0.322
1998	138	2.981	2.694	0.287	0	0.287
1998	139	3.304	2.921	0.384	0	0.384
1998	140	3.083	2.759	0.324	0	0.324
1998	141	3.163	2.845	0.317	0	0.317
1998	142	2.813	2.469	0.241	0.103	0.344
1998	143	3.702	1.638	0.118	1.946	2.063
1998	144	5.04	2.013	0.059	2.968	3.027
1998	145	2.508	1.928	0.178	0.402	0.58
1998	146	3.135	2.185	0.176	0.774	0.95
1998	147	4.309	2.012	0.104	2.193	2.297
1998	148	2.029	1.921	0.108	0	0.108
1998	149	2.731	2.568	0.163	0	0.163
1998	150	2.782	2.606	0.176	0	0.176
1998	151	3.177	2.95	0.227	0	0.227
1998	152	3.54	3.111	0.428	0	0.428
1998	153	3.123	2.622	0.501	0	0.501
1998	154	3.442	2.623	0.554	0.266	0.819
1998	155	3.88	0.939	0.085	2.855	2.94
1998	156	3.139	0.621	0.03	2.488	2.518
1998	157	1.406	0.427	0.022	0.957	0.979
1998	158	5.27	2.876	0.154	2.239	2.394
1998	159	3.126	2.947	0.179	0	0.179
1998	160	1.034	0.965	0.057	0.012	0.069
1998	161	2.75	1.665	0.083	1.001	1.084
1998	162	2.299	2.166	0.133	0	0.133
1998	163	3.075	2.854	0.221	0	0.221
1998	164	3.364	2.912	0.285	0.167	0.453
1998	165	3.592	3.305	0.286	0.001	0.287
1998	166	7.446	2.034	0.104	5.308	5.412
1998	167	8.788	3.298	0.41	5.08	5.49
1998	168	4.678	3.308	0.318	1.051	1.369
1998	169	3.763	3.404	0.359	0	0.359
1998	170	2.361	1.975	0.386	0	0.386
1998	171	4.043	3.51	0.534	0	0.534
1998	172	3.785	3.214	0.571	0	0.571
1998	173	4.433	2.952	0.765	0.715	1.48
1998	174	4.106	2.713	0.834	0.558	1.393
1998	175	3.847	3.132	0.715	0	0.715
1998	176	3.751	2.996	0.755	0	0.755
1998	177	3.96	3.129	0.831	0	0.831
1998	178	4.132	3.2	0.932	0	0.932
1998	179	3.781	2.974	0.807	0	0.807
1998	180	3.409	2.474	0.815	0.12	0.935
1998	181	3.597	2.42	0.564	0.613	1.177
1998	182	5.238	2.689	0.25	2.299	2.549
1998	183	3.328	2.929	0.399	0	0.399
1998	184	3.128	2.488	0.64	0	0.64
1998	185	3.085	2.389	0.696	0	0.696
1998	186	3.087	2.37	0.716	0	0.716
1998	187	3.393	2.537	0.516	0.34	0.856
1998	188	2.971	2.425	0.546	0	0.546
1998	189	2.738	1.935	0.803	0	0.803
1998	190	2.979	2.065	0.914	0	0.914
1998	191	2.785	2.013	0.772	0	0.772
1998	192	2.719	2.194	0.525	0	0.525
1998	193	2.295	1.725	0.57	0	0.57
1998	194	2.498	1.998	0.5	0	0.5
1998	195	2.506	2.079	0.427	0	0.427
1998	196	2.422	1.909	0.513	0	0.513
1998	197	2.242	1.364	0.878	0	0.878
1998	198	2.448	1.572	0.876	0	0.876
1998	199	2.625	2.092	0.533	0	0.533
1998	200	2.533	1.78	0.753	0	0.753
1998	201	2.528	1.784	0.744	0	0.744
1998	202	2.597	1.822	0.775	0	0.775
1998	203	2.634	1.747	0.887	0	0.887
1998	204	4.237	1.4	0.816	2.021	2.837
1998	205	2.093	1.398	0.626	0.07	0.696
1998	206	3.818	1.094	0.508	2.216	2.724
1998	207	3.261	1.346	0.321	1.593	1.914
1998	208	0.963	0.537	0.243	0.184	0.426
1998	209	1.813	1.148	0.294	0.37	0.665
